Best_Fitness,Generations_Count,Converged_Count
2.482953643918331E23,100,0
1.7993803788727574E21,100,0
3.3623518079047777E25,100,0
1.625559936180707E23,100,0
7.650066059463504E22,100,0
2.6496181508284434E22,100,0
3.0325502411961393E25,100,0
1.0589255827854035E22,100,0
1.1256820449251063E26,100,0
2.426964149046376E19,100,0
4.901220872794696E23,100,0
3.355809126515747E23,100,0
4.9512601437466194E18,100,0
7.120511096008607E23,100,0
9.220704701850524E22,100,0
7.820268839533003E24,100,0
1.666928075437132E23,100,0
2.7224346304167143E23,100,0
1.5082828470818823E23,100,0
9.919903089833768E23,100,0
2.3683152974934327E22,100,0
4.005462711691069E20,100,0
1.3626558149840899E22,100,0
1.0804526866763796E24,100,0
4.713202183348419E19,100,0
1.7775190377434985E24,100,0
2.649117521866824E21,100,0
2.633378638152823E22,100,0
1.0495245569112251E24,100,0
2.63920368096534E21,100,0
